OrderDate,OrderNumber,CustomerKey,ProductKey,TerritoryKey,OrderQuantity,UnitPrice
2020-01-04,SO07725,833,9,7,1,25.55
2020-01-04,SO08927,794,16,3,2,330.12
2020-01-04,SO08979,574,1,4,1,2330.78
2020-01-04,SO09580,484,17,1,1,233.25
2020-01-04,SO10083,182,18,4,1,203.43
2020-01-05,SO00001,488,20,1,4,2468.67
2020-01-05,SO02992,885,5,7,3,2406.46
2020-01-05,SO03767,627,13,6,2,58.88
2020-01-05,SO03929,320,10,8,1,32.33
2020-01-05,SO04357,746,16,10,1,347.11
2020-01-05,SO05233,795,3,3,1,3642.64
2020-01-05,SO05944,289,16,2,1,332.39
2020-01-05,SO06005,198,10,4,1,33.2
2020-01-05,SO06085,373,19,6,2,1095.49
2020-01-05,SO07361,992,2,5,2,2300.2
2020-01-05,SO09689,417,4,7,1,797.85
2020-01-05,SO11024,151,15,2,4,1383.74
2020-01-05,SO11342,111,20,3,2,2476.34
2020-01-06,SO00330,872,7,1,1,34.94
2020-01-06,SO02775,238,12,1,1,53.62
2020-01-06,SO03644,575,15,10,3,1325.4
2020-01-06,SO04089,521,16,9,1,338.92
2020-01-06,SO04775,474,11,2,3,65.3
2020-01-06,SO05484,416,12,6,1,53.3
2020-01-06,SO06480,533,14,6,2,71.22
2020-01-06,SO08187,367,9,2,2,25.16
2020-01-06,SO11300,156,20,4,2,2468.05
2020-01-06,SO11449,916,6,3,4,725.58
2020-01-06,SO12702,276,12,3,1,52.61
2020-01-06,SO14641,312,17,4,2,232.88
2020-01-07,SO00718,281,10,9,1,32.29
2020-01-07,SO01123,365,11,10,1,62.15
2020-01-07,SO01255,688,8,5,1,35.75
2020-01-07,SO02951,14,11,3,4,61.89
2020-01-07,SO04194,986,11,10,1,64.24
2020-01-07,SO04913,491,16,6,1,338.41
2020-01-07,SO05302,646,13,3,1,58.57
2020-01-07,SO06318,265,16,1,5,341.97
2020-01-07,SO07203,650,8,3,3,33.95
2020-01-07,SO07826,933,17,6,3,240.42
2020-01-07,SO08635,995,18,5,2,201.07
2020-01-07,SO09253,65,15,9,1,1331.52
2020-01-07,SO10053,680,15,6,1,1367.39
2020-01-07,SO12207,499,4,4,2,785.77
2020-01-07,SO13319,666,4,2,4,771.56
2020-01-07,SO13774,336,17,6,1,242.62
2020-01-08,SO02340,178,19,3,2,1097.07
2020-01-08,SO03789,741,3,8,1,3549.62
2020-01-08,SO11035,995,17,5,1,242.01
2020-01-08,SO11825,452,6,4,1,725.8
2020-01-08,SO13680,999,16,3,1,330.08
2020-01-08,SO14044,394,19,4,2,1064.06
2020-01-09,SO02799,452,3,4,2,3607.21
2020-01-09,SO03032,281,4,9,2,797.77
2020-01-09,SO03218,7,7,3,3,34.66
2020-01-09,SO05683,240,11,3,1,63.98
2020-01-09,SO08377,720,13,2,1,60.79
2020-01-09,SO08686,536,7,7,3,34.54
2020-01-09,SO08707,514,20,9,4,2395.13
2020-01-09,SO08709,281,19,3,1,1069.98
2020-01-09,SO12210,296,20,1,5,2405.83
2020-01-09,SO12286,173,8,9,1,35.29
2020-01-09,SO12316,140,8,3,1,35.34
2020-01-09,SO12619,190,13,1,5,58.63
2020-01-09,SO13493,594,7,5,1,34.4
2020-01-09,SO13797,44,17,5,5,237.43
2020-01-09,SO13929,282,16,9,1,344.29
2020-01-10,SO00442,292,15,3,3,1356.54
2020-01-10,SO02402,529,1,9,2,2424.87
2020-01-10,SO03119,281,2,2,1,2267.93
2020-01-10,SO03312,923,17,10,1,231.19
2020-01-10,SO03737,96,11,7,1,64.68
2020-01-10,SO04167,328,17,6,1,230.19
2020-01-10,SO04316,106,17,2,2,232.75
2020-01-10,SO04847,550,17,6,1,234.6
2020-01-10,SO05963,236,11,7,2,65.01
2020-01-10,SO06298,399,14,6,2,70.05
2020-01-10,SO08310,708,3,4,1,3499.39
2020-01-10,SO08894,584,15,10,5,1372.86
2020-01-10,SO10317,696,3,10,1,3560.61
2020-01-10,SO10641,447,6,5,3,758.92
2020-01-10,SO11311,707,14,2,1,71.2
2020-01-10,SO11558,83,20,8,2,2460.39
2020-01-10,SO13107,637,11,9,2,62.22
2020-01-10,SO13536,279,20,9,3,2473.38
2020-01-10,SO13837,486,13,10,1,60.7
2020-01-11,SO00421,535,6,5,4,728.67
2020-01-11,SO00496,361,14,1,1,68.47
2020-01-11,SO02742,424,16,6,1,342.42
2020-01-11,SO04185,179,10,10,1,32.51
2020-01-11,SO05124,79,14,9,1,68.06
2020-01-11,SO06162,677,19,5,1,1102.72
2020-01-11,SO08262,917,20,9,1,2376.57
2020-01-11,SO09589,74,13,9,1,60.4
2020-01-11,SO11151,962,14,5,1,70.02
2020-01-11,SO11245,595,18,9,4,202.61
2020-01-11,SO11730,102,1,9,2,2415.72
2020-01-11,SO13663,767,10,1,1,32.56
2020-01-12,SO00674,707,9,4,3,25.43
2020-01-12,SO00686,719,10,4,1,31.81
2020-01-12,SO00855,57,13,7,1,61.09
2020-01-12,SO02674,650,13,7,5,59.17
2020-01-12,SO05242,672,4,10,2,794.82
2020-01-12,SO05487,969,19,6,1,1075.18
2020-01-12,SO06016,423,11,8,3,62.48
2020-01-12,SO06140,14,2,1,4,2255.6
2020-01-12,SO09021,124,13,4,1,60.38
2020-01-13,SO00129,891,3,8,1,3512.24
2020-01-13,SO01040,4,13,10,1,59.59
2020-01-13,SO01969,194,6,7,2,727.57
2020-01-13,SO02665,434,18,5,2,198.33
2020-01-13,SO02691,183,3,1,2,3534.31
2020-01-13,SO04490,126,17,7,3,239.93
2020-01-13,SO05404,265,1,2,5,2337.83
2020-01-13,SO06467,971,19,3,3,1076.54
2020-01-13,SO09065,235,9,6,2,24.4
2020-01-13,SO10457,866,11,8,4,65.39
2020-01-13,SO10961,171,19,1,3,1054.16
2020-01-13,SO11019,733,19,7,4,1101.88
2020-01-13,SO11930,215,20,1,2,2417.0
2020-01-13,SO11965,771,1,6,2,2343.57
2020-01-13,SO13346,542,11,10,2,61.71
2020-01-13,SO13548,761,9,2,3,24.79
2020-01-14,SO00515,639,16,4,1,327.1
2020-01-14,SO00986,55,20,6,2,2483.61
2020-01-14,SO01435,837,16,4,3,345.06
2020-01-14,SO01961,918,10,6,5,33.43
2020-01-14,SO04009,638,6,6,1,747.66
2020-01-14,SO06236,967,6,2,2,751.27
2020-01-14,SO06541,203,16,4,1,327.35
2020-01-14,SO07261,545,5,3,1,2363.48
2020-01-14,SO08597,292,8,1,1,35.96
2020-01-14,SO09886,795,12,4,1,55.58
2020-01-14,SO10202,742,5,9,2,2326.39
2020-01-14,SO11413,434,1,9,2,2426.67
2020-01-14,SO12153,190,10,5,3,32.25
2020-01-14,SO12723,556,9,1,2,24.5
2020-01-14,SO13555,121,5,6,4,2340.57
2020-01-14,SO13862,198,18,5,1,205.95
2020-01-15,SO00244,720,14,9,2,68.92
2020-01-15,SO01654,640,10,2,1,33.07
2020-01-15,SO02323,558,11,6,5,65.32
2020-01-15,SO02810,704,12,8,1,52.97
2020-01-15,SO03683,279,3,4,1,3571.42
2020-01-15,SO04223,187,14,9,1,68.82
2020-01-15,SO04620,236,12,9,1,54.73
2020-01-15,SO06601,754,14,4,2,71.62
2020-01-15,SO07152,149,15,6,2,1368.24
2020-01-15,SO09137,401,15,3,1,1343.92
2020-01-15,SO09304,184,3,10,1,3649.74
2020-01-15,SO11143,345,19,2,2,1083.28
2020-01-15,SO12078,993,20,2,3,2452.67
2020-01-15,SO12565,711,11,10,2,64.38
2020-01-15,SO12734,196,19,2,2,1095.16
2020-01-15,SO13087,340,17,8,1,242.21
2020-01-16,SO01148,289,20,5,2,2444.94
2020-01-16,SO01379,883,11,8,1,64.81
2020-01-16,SO02586,791,10,9,1,31.7
2020-01-16,SO04067,201,17,5,1,238.58
2020-01-16,SO04774,926,12,7,2,52.51
2020-01-16,SO05182,475,2,3,1,2374.17
2020-01-16,SO05271,510,3,3,1,3568.51
2020-01-16,SO09118,793,3,10,1,3529.23
2020-01-16,SO09208,197,18,1,1,205.04
2020-01-16,SO10162,280,19,6,2,1091.6
2020-01-16,SO11350,892,2,6,1,2295.02
2020-01-16,SO11603,249,12,1,3,53.66
2020-01-16,SO13942,640,2,6,1,2298.83
2020-01-16,SO14130,892,11,4,1,63.86
2020-01-16,SO14937,79,2,2,1,2264.67
2020-01-17,SO00368,874,5,2,1,2335.18
2020-01-17,SO02022,341,19,10,4,1067.44
2020-01-17,SO02535,599,7,3,1,35.83
2020-01-17,SO03080,24,16,1,1,344.48
2020-01-17,SO03224,784,15,4,2,1382.1
2020-01-17,SO03317,469,2,4,1,2378.14
2020-01-17,SO06227,826,15,2,2,1334.59
2020-01-17,SO06951,138,4,8,1,765.86
2020-01-17,SO06962,594,12,9,1,55.18
2020-01-17,SO08076,593,1,10,3,2444.17
2020-01-17,SO08603,96,3,4,3,3636.41
2020-01-17,SO08677,636,16,2,1,329.95
2020-01-17,SO08830,349,6,4,1,732.01
2020-01-17,SO09514,785,9,3,4,25.46
2020-01-17,SO10511,223,12,7,1,53.81
2020-01-17,SO10840,895,10,5,1,33.34
2020-01-17,SO12620,853,13,9,2,61.37
2020-01-17,SO13121,159,2,4,2,2254.62
2020-01-17,SO13208,108,14,9,1,68.0
2020-01-17,SO13768,571,6,10,1,724.57
2020-01-17,SO14512,162,9,5,1,25.49
2020-01-17,SO14545,251,9,10,1,25.15
2020-01-18,SO00005,474,4,6,4,780.39
2020-01-18,SO01060,340,2,2,1,2375.92
2020-01-18,SO01278,876,11,3,3,63.55
2020-01-18,SO02425,90,10,3,2,33.56
2020-01-18,SO02779,46,12,3,2,55.24
2020-01-18,SO03550,364,5,9,1,2350.82
2020-01-18,SO04076,482,1,4,1,2354.24
2020-01-18,SO04964,56,5,8,5,2323.23
2020-01-18,SO06363,456,7,9,1,35.99
2020-01-18,SO07714,428,2,3,1,2269.45
2020-01-18,SO09545,173,9,4,2,25.25
2020-01-18,SO11136,209,1,8,1,2404.36
2020-01-18,SO14084,262,6,6,1,736.51
2020-01-19,SO00188,873,18,8,1,206.16
2020-01-19,SO02227,756,15,5,4,1370.99
2020-01-19,SO02525,197,11,6,1,61.82
2020-01-19,SO02825,340,16,6,3,333.75
2020-01-19,SO04038,212,8,1,1,34.52
2020-01-19,SO05556,458,10,10,3,32.69
2020-01-19,SO05670,895,14,5,1,70.81
2020-01-19,SO08786,944,13,6,3,58.43
2020-01-19,SO10491,140,9,5,4,25.07
2020-01-19,SO11387,153,8,3,1,34.19
2020-01-19,SO11534,205,17,1,1,231.69
2020-01-19,SO11604,914,1,5,2,2447.92
2020-01-19,SO12618,65,2,9,2,2308.62
2020-01-19,SO14570,301,14,6,1,70.18
2020-01-20,SO00234,731,17,3,2,230.96
2020-01-20,SO00839,441,19,2,2,1076.27
2020-01-20,SO01084,755,1,6,4,2401.88
2020-01-20,SO02282,848,10,9,1,32.24
2020-01-20,SO02398,68,6,3,1,752.45
2020-01-20,SO02472,79,4,4,5,775.51
2020-01-20,SO02489,203,7,6,1,35.92
2020-01-20,SO08405,15,19,5,1,1063.61
2020-01-20,SO10741,543,13,5,1,61.22
2020-01-20,SO11354,670,16,6,2,331.45
2020-01-20,SO11609,588,12,4,4,55.6
2020-01-20,SO14313,269,6,3,4,731.96
2020-01-20,SO14742,916,10,5,1,33.23
2020-01-21,SO04386,933,20,1,5,2437.7
2020-01-21,SO04924,752,11,1,1,63.47
2020-01-21,SO05609,206,1,5,1,2389.06
2020-01-21,SO05922,386,19,2,2,1050.89
2020-01-21,SO05988,916,20,3,1,2377.68
2020-01-21,SO07615,46,20,10,2,2466.06
2020-01-21,SO07926,769,8,7,1,34.43
2020-01-21,SO08090,953,4,7,2,800.5
2020-01-21,SO08338,531,1,5,1,2406.09
2020-01-21,SO11584,337,3,4,1,3662.64
2020-01-21,SO11957,642,17,5,3,236.06
2020-01-21,SO12146,886,6,4,1,757.49
2020-01-21,SO12793,506,9,4,1,25.13
2020-01-22,SO00028,394,15,8,3,1395.61
2020-01-22,SO01077,20,19,5,1,1106.2
2020-01-22,SO02314,982,8,9,1,35.14
2020-01-22,SO02516,669,15,7,2,1335.34
2020-01-22,SO04239,913,14,3,1,70.47
2020-01-22,SO04431,562,10,9,1,33.03
2020-01-22,SO07415,412,6,5,1,738.04
2020-01-22,SO09181,273,11,4,1,62.17
2020-01-22,SO09611,935,10,1,2,32.55
2020-01-22,SO09929,532,1,6,2,2387.61
2020-01-22,SO10343,704,20,7,1,2516.46
2020-01-22,SO11620,165,17,4,1,231.67
2020-01-22,SO12140,280,18,9,1,198.13
2020-01-22,SO13488,7,3,9,2,3585.62
2020-01-22,SO13713,643,15,7,5,1353.38
2020-01-22,SO14616,779,9,7,1,24.38
2020-01-22,SO14707,660,18,3,1,206.88
2020-01-23,SO00435,219,11,8,2,62.82
2020-01-23,SO00939,534,4,5,2,795.75
2020-01-23,SO01953,506,3,4,5,3538.14
2020-01-23,SO02629,368,6,5,3,736.55
2020-01-23,SO02781,601,7,1,2,36.02
2020-01-23,SO03279,717,19,4,1,1073.32
2020-01-23,SO03721,284,15,3,1,1350.76
2020-01-23,SO05690,682,12,6,5,52.4
2020-01-23,SO08589,819,7,6,2,35.33
2020-01-23,SO08640,622,17,7,1,238.35
2020-01-23,SO10165,8,1,9,5,2391.1
2020-01-23,SO10763,172,10,10,2,33.48
2020-01-23,SO11382,607,9,2,2,24.39
2020-01-23,SO12749,304,16,9,1,341.56
2020-01-23,SO12830,526,17,8,2,242.63
2020-01-23,SO13236,524,2,9,2,2382.28
2020-01-23,SO14501,98,13,10,1,60.93
2020-01-24,SO05480,633,19,7,1,1078.48
2020-01-24,SO05969,256,6,7,1,722.68
2020-01-24,SO07169,4,16,9,2,329.83
2020-01-24,SO12961,83,12,4,2,53.53
2020-01-24,SO14216,702,12,9,1,54.2
2020-01-24,SO14704,862,11,8,5,63.37
2020-01-25,SO00308,103,20,7,1,2386.18
2020-01-25,SO00829,920,17,4,2,234.09
2020-01-25,SO02415,372,3,4,1,3522.27
2020-01-25,SO03733,348,8,10,1,34.97
2020-01-25,SO04341,425,4,2,2,780.49
2020-01-25,SO05686,568,12,2,1,55.5
2020-01-25,SO06056,557,16,10,3,328.02
2020-01-25,SO11373,968,11,10,1,62.93
2020-01-25,SO11813,649,20,9,1,2493.0
2020-01-25,SO12061,109,1,5,1,2446.91
2020-01-25,SO12654,348,15,6,1,1339.17
2020-01-25,SO13684,367,2,8,2,2370.96
2020-01-25,SO13864,882,8,9,1,34.04
2020-01-26,SO00337,852,19,7,1,1059.41
2020-01-26,SO00584,315,4,10,2,798.78
2020-01-26,SO00757,327,6,3,2,737.18
2020-01-26,SO01155,850,7,3,3,34.37
2020-01-26,SO01835,63,18,2,2,200.95
2020-01-26,SO02350,936,20,2,4,2421.23
2020-01-26,SO02757,402,5,6,1,2412.37
2020-01-26,SO02994,35,13,1,1,58.39
2020-01-26,SO04402,476,9,4,1,25.13
2020-01-26,SO04804,551,16,6,1,340.31
2020-01-26,SO04891,152,5,5,1,2447.39
2020-01-26,SO05252,384,1,10,4,2344.24
2020-01-26,SO05861,294,11,6,2,63.26
2020-01-26,SO06040,66,1,10,1,2424.37
2020-01-26,SO06499,584,2,8,1,2295.55
2020-01-26,SO06568,386,12,10,1,55.46
2020-01-26,SO09628,570,12,9,1,53.39
2020-01-26,SO11000,507,15,9,1,1386.68
2020-01-26,SO11357,762,4,8,1,778.13
2020-01-26,SO12051,426,1,2,2,2335.4
2020-01-27,SO00707,280,20,1,2,2464.12
2020-01-27,SO01112,647,10,3,1,32.23
2020-01-27,SO01984,37,5,4,5,2352.17
2020-01-27,SO02734,509,2,8,1,2339.81
2020-01-27,SO02882,326,10,1,1,32.31
2020-01-27,SO03829,650,1,2,2,2331.53
2020-01-27,SO04587,870,16,7,1,344.62
2020-01-27,SO05495,27,2,2,4,2343.87
2020-01-27,SO07187,611,6,10,2,721.96
2020-01-27,SO08133,317,7,7,1,34.35
2020-01-27,SO08854,242,15,10,2,1367.14
2020-01-27,SO09010,33,1,8,3,2380.9
2020-01-27,SO09382,606,17,8,1,238.07
2020-01-27,SO10456,804,10,9,3,32.63
2020-01-27,SO10828,857,13,6,3,58.92
2020-01-27,SO11261,690,13,10,2,59.43
2020-01-27,SO11716,959,19,7,1,1067.71
2020-01-27,SO11824,274,8,3,3,35.59
2020-01-27,SO12356,771,12,1,2,55.02
2020-01-27,SO12492,548,16,7,1,344.2
2020-01-27,SO13831,754,17,6,4,230.88
2020-01-27,SO14135,849,4,9,2,771.59
2020-01-28,SO00121,22,8,10,3,34.2
2020-01-28,SO00309,136,2,4,3,2287.65
2020-01-28,SO00310,981,1,2,2,2430.61
2020-01-28,SO00657,866,2,1,3,2323.69
2020-01-28,SO01820,457,9,3,5,24.85
2020-01-28,SO03295,660,3,9,1,3605.23
2020-01-28,SO03527,267,2,8,1,2389.53
2020-01-28,SO04491,262,9,7,3,25.55
2020-01-28,SO05732,876,11,9,1,62.53
2020-01-28,SO07379,748,11,10,1,63.94
2020-01-28,SO08553,217,4,8,1,780.52
2020-01-28,SO09930,280,20,3,1,2514.16
2020-01-28,SO10917,661,19,2,2,1072.26
2020-01-28,SO13360,125,5,1,2,2445.84
2020-01-29,SO00689,282,7,5,3,35.76
2020-01-29,SO01407,110,14,6,1,68.5
2020-01-29,SO04134,4,15,10,1,1349.61
2020-01-29,SO05583,79,15,2,2,1324.82
2020-01-29,SO06955,3,17,4,1,240.3
2020-01-29,SO07882,344,13,7,2,58.72
2020-01-29,SO08348,495,11,5,1,62.52
2020-01-29,SO09515,916,2,9,5,2301.1
2020-01-29,SO09763,491,4,5,3,804.51
2020-01-29,SO11431,756,20,7,2,2387.02
2020-01-29,SO13471,443,13,10,1,59.26
2020-01-30,SO00389,834,12,6,1,55.27
2020-01-30,SO00715,427,13,1,1,61.16
2020-01-30,SO00916,650,5,1,3,2346.57
2020-01-30,SO04206,558,16,3,2,336.98
2020-01-30,SO04505,990,5,7,1,2427.93
2020-01-30,SO05505,301,19,3,2,1065.91
2020-01-30,SO05566,968,8,4,2,34.79
2020-01-30,SO06707,164,16,7,4,340.98
2020-01-30,SO08525,878,7,6,2,34.66
2020-01-30,SO09306,329,10,8,4,33.02
2020-01-30,SO10039,126,6,6,1,757.17
2020-01-30,SO11844,754,2,10,5,2318.62
2020-01-30,SO12945,773,1,4,2,2316.6
2020-01-30,SO13844,423,11,2,2,61.98
2020-01-30,SO14170,802,19,5,1,1096.07
2020-01-30,SO14255,536,11,6,1,64.84
2020-01-30,SO14741,706,12,3,2,53.14
2020-01-31,SO01748,729,3,5,1,3563.41
2020-01-31,SO06566,711,10,3,1,32.35
2020-01-31,SO07881,143,2,8,1,2269.65
2020-01-31,SO08629,732,6,3,2,756.46
2020-01-31,SO09674,162,3,10,3,3587.51
2020-01-31,SO09958,961,12,10,1,55.49
2020-01-31,SO10481,395,19,1,2,1075.85
2020-01-31,SO12444,981,10,5,1,32.34
2020-01-31,SO12860,365,9,3,1,25.22
2020-01-31,SO13147,942,11,1,2,65.27
2020-01-31,SO13901,577,14,1,1,71.4
2020-02-01,SO00612,124,6,7,1,744.78
2020-02-01,SO01016,945,2,7,1,2346.35
2020-02-01,SO01589,783,12,1,1,52.84
2020-02-01,SO04974,98,9,1,5,25.72
2020-02-01,SO06106,329,1,4,4,2359.58
2020-02-01,SO06173,813,17,6,1,241.08
2020-02-01,SO06632,985,18,1,1,203.88
2020-02-01,SO12046,331,9,5,3,24.31
2020-02-01,SO12455,96,20,1,4,2378.27
2020-02-01,SO12625,65,6,4,2,757.36
2020-02-02,SO01622,329,20,8,3,2412.17
2020-02-02,SO02419,724,5,9,4,2411.07
2020-02-02,SO02511,910,6,8,1,723.33
2020-02-02,SO02635,596,2,4,1,2261.2
2020-02-02,SO03236,630,1,6,1,2447.49
2020-02-02,SO03536,730,12,3,1,53.48
2020-02-02,SO03836,39,19,1,1,1102.18
2020-02-02,SO04006,978,9,7,5,24.94
2020-02-02,SO05380,941,20,4,1,2439.13
2020-02-02,SO05761,474,10,6,4,32.85
2020-02-02,SO07394,119,1,2,1,2353.83
2020-02-02,SO07495,482,9,1,2,25.08
2020-02-02,SO08407,914,4,5,1,775.43
2020-02-02,SO11568,729,20,6,2,2405.88
2020-02-03,SO00893,390,1,7,1,2436.23
2020-02-03,SO01596,130,6,1,3,755.64
2020-02-03,SO02145,466,3,3,5,3613.03
2020-02-03,SO02652,463,17,9,2,235.04
2020-02-03,SO02790,124,18,9,2,200.47
2020-02-03,SO03889,138,2,6,2,2384.21
2020-02-03,SO04404,303,13,6,3,59.47
2020-02-03,SO07138,297,14,1,4,68.25
2020-02-03,SO08304,129,12,7,4,54.41
2020-02-03,SO10927,102,18,3,1,206.64
2020-02-03,SO11557,728,14,8,1,68.5
2020-02-03,SO11597,629,17,4,1,241.99
2020-02-03,SO12137,139,11,6,1,62.39
2020-02-03,SO12225,507,18,9,2,199.77
2020-02-03,SO13642,95,15,1,1,1384.74
2020-02-03,SO14771,652,13,3,2,58.27
2020-02-04,SO01397,224,16,3,1,346.47
2020-02-04,SO01562,452,16,8,2,335.01
2020-02-04,SO01713,372,20,7,5,2452.8
2020-02-04,SO01866,856,15,7,4,1323.85
2020-02-04,SO02223,719,5,7,1,2412.1
2020-02-04,SO03546,939,6,4,3,741.5
2020-02-04,SO05437,372,17,6,1,234.44
2020-02-04,SO06588,182,10,4,3,32.59
2020-02-04,SO07705,721,1,3,2,2337.0
2020-02-04,SO09646,300,15,9,2,1335.8
2020-02-04,SO09783,37,6,1,3,763.12
2020-02-04,SO11996,154,12,10,1,55.12
2020-02-04,SO13063,439,20,3,2,2435.55
2020-02-04,SO14089,712,4,1,1,779.92
2020-02-05,SO00480,697,19,5,3,1081.63
2020-02-05,SO01545,848,10,1,4,33.5
2020-02-05,SO07343,611,10,8,1,32.43
2020-02-05,SO09997,454,7,5,4,35.48
2020-02-05,SO13127,803,4,4,1,764.68
2020-02-06,SO04146,591,3,10,1,3603.35
2020-02-06,SO06851,772,15,5,1,1357.91
2020-02-06,SO08395,535,4,1,2,788.91
2020-02-06,SO08938,22,14,9,3,71.52
2020-02-06,SO10382,14,14,5,1,70.6
2020-02-06,SO11918,778,10,6,1,32.38
2020-02-06,SO13542,513,9,7,3,25.46
2020-02-06,SO14988,864,5,1,1,2360.66
2020-02-07,SO02167,515,10,9,1,32.79
2020-02-07,SO02837,485,14,6,2,69.69
2020-02-07,SO05920,719,9,9,3,25.06
2020-02-07,SO06179,369,3,6,5,3525.89
2020-02-07,SO06201,214,5,8,1,2337.99
2020-02-07,SO06633,737,14,10,1,69.87
2020-02-07,SO08981,632,7,4,1,35.7
2020-02-07,SO09566,399,3,9,1,3471.68
2020-02-07,SO10295,93,3,9,1,3658.74
2020-02-07,SO10968,430,14,6,2,70.68
2020-02-07,SO11089,654,16,2,1,333.75
2020-02-07,SO11487,316,12,6,2,55.46
2020-02-07,SO11927,41,8,4,1,34.94
2020-02-08,SO00574,394,13,8,1,58.93
2020-02-08,SO05227,697,8,10,1,35.03
2020-02-08,SO06687,559,1,9,4,2351.95
2020-02-08,SO06790,668,18,6,2,202.08
2020-02-08,SO08560,613,12,2,3,52.77
2020-02-08,SO09760,49,16,5,4,334.01
2020-02-08,SO10373,234,4,1,1,786.59
2020-02-08,SO10834,540,2,1,1,2313.77
2020-02-08,SO12669,25,2,4,1,2257.67
2020-02-09,SO01947,585,13,7,4,61.46
2020-02-09,SO02539,826,7,2,1,34.35
2020-02-09,SO02668,290,4,6,3,788.18
2020-02-09,SO03033,918,18,3,1,199.59
2020-02-09,SO04131,908,14,5,1,70.81
2020-02-09,SO05601,231,7,1,2,35.29
2020-02-09,SO09311,963,7,4,2,35.68
2020-02-09,SO11459,722,9,4,1,24.37
2020-02-09,SO11709,908,3,6,3,3551.57
2020-02-09,SO12979,202,3,7,3,3646.8
2020-02-09,SO13732,77,2,1,4,2281.76
2020-02-09,SO14062,681,9,7,4,24.54
2020-02-09,SO14335,574,4,1,3,770.48
2020-02-10,SO01422,787,11,9,1,62.9
2020-02-10,SO01671,341,19,5,3,1085.02
2020-02-10,SO02200,225,2,7,1,2253.3
2020-02-10,SO02217,976,13,8,1,58.53
2020-02-10,SO02313,125,4,10,1,786.96
2020-02-10,SO02624,856,3,8,2,3592.15
2020-02-10,SO05699,640,3,8,1,3505.17
2020-02-10,SO06295,630,13,5,1,59.77
2020-02-10,SO06436,956,13,3,1,58.97
2020-02-10,SO07135,287,1,5,2,2431.81
2020-02-10,SO07582,378,7,5,4,34.85
2020-02-10,SO09147,774,9,5,1,24.29
2020-02-10,SO09336,175,10,10,1,33.17
2020-02-10,SO10176,272,16,7,4,336.67
2020-02-10,SO10705,541,9,6,2,24.72
2020-02-10,SO11926,869,9,10,1,25.31
2020-02-10,SO13139,284,10,7,1,33.11
2020-02-10,SO13791,662,11,9,1,62.14
2020-02-11,SO05635,830,10,2,2,32.59
2020-02-11,SO05665,63,9,3,1,25.67
2020-02-11,SO05776,564,2,2,1,2254.59
2020-02-11,SO05868,406,19,3,2,1094.91
